sample_name,sample_type,plate,well,concentration_ng_per_ul,volume_ul,amount_ng,extraction_method,sample_source,host,sample_description,origin_of_sample_collection,sample_mo_yr,sequencing_type_requested,study_objectives
M1F_D1_2,DNA,1,G06,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D2_1,DNA,1,H06,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D2_1,DNA,1,A07,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D0_2,DNA,1,B07,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
T1_D0_2,DNA,1,C07,NA,20,NA,Qiagen DNeasy,NA,NA,T. mobilis,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D2_4,DNA,1,D07,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D1_1,DNA,1,E07,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D0_3,DNA,1,F07,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D2_3,DNA,1,G07,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D1_2,DNA,1,H07,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D0_2,DNA,1,A08,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D0_2,DNA,1,B08,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D0_4,DNA,1,C08,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D2_1,DNA,1,D08,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D0_2,DNA,1,E08,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D1_1,DNA,1,F08,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D0_1,DNA,1,G08,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D1_3,DNA,1,H08,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D2_2,DNA,1,A09,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D1_1,DNA,1,B09,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D0_2,DNA,1,C09,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D1_1,DNA,1,D09,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D2_2,DNA,1,E09,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D2_2,DNA,1,F09,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D1_1,DNA,1,G09,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D0_4,DNA,1,H09,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
T1_D0_1,DNA,1,A10,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,T. mobilis,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D0_2,DNA,1,B10,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D2_1,DNA,1,C10,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D2_3,DNA,1,D10,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D0_1,DNA,1,E10,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D1_3,DNA,1,F10,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D2_1,DNA,1,G10,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D1_2,DNA,1,H10,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D1_4,DNA,1,A11,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D0_3,DNA,1,B11,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D2_2,DNA,1,C11,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D2_4,DNA,1,D11,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D1_3,DNA,1,E11,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D2_3,DNA,1,F11,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D1_2,DNA,1,G11,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D0_2,DNA,1,A12,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D0_3,DNA,1,B12,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D2_4,DNA,1,C12,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D1_2,DNA,1,D12,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D2_3,DNA,1,E12,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D0_2,DNA,1,F12,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D2_3,DNA,1,G12,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
