row,column,well,dna_sample_id,specimen_name,mixture,feces_added,specimen_base_id,specimen_type,dilution_power,dilution_label,dilution_factor,aliquot_number,extraction_protocol
E,9,E9,M1F-D2-2,M1F-D2,M1,TRUE,M1F,Mock in feces,2,D2,100,2,2
D,10,D10,M1F-D2-3,M1F-D2,M1,TRUE,M1F,Mock in feces,2,D2,100,3,1
D,11,D11,M1F-D2-4,M1F-D2,M1,TRUE,M1F,Mock in feces,2,D2,100,4,2
F,6,F6,M1N-D0-1,M1N-D0,M1,FALSE,M1N,Mock only,0,D0,1,1,1
A,5,A5,M1N-D0-2,M1N-D0,M1,FALSE,M1N,Mock only,0,D0,1,2,2
G,4,G4,M1N-D0-3,M1N-D0,M1,FALSE,M1N,Mock only,0,D0,1,3,1
H,9,H9,M1N-D0-4,M1N-D0,M1,FALSE,M1N,Mock only,0,D0,1,4,2
B,9,B9,M1N-D1-1,M1N-D1,M1,FALSE,M1N,Mock only,1,D1,10,1,1
B,5,B5,M1N-D1-2,M1N-D1,M1,FALSE,M1N,Mock only,1,D1,10,2,2
C,3,C3,M1N-D1-3,M1N-D1,M1,FALSE,M1N,Mock only,1,D1,10,3,1
G,3,G3,M1N-D1-4,M1N-D1,M1,FALSE,M1N,Mock only,1,D1,10,4,2
A,2,A2,M1N-D2-1,M1N-D2,M1,FALSE,M1N,Mock only,2,D2,100,1,1
C,11,C11,M1N-D2-2,M1N-D2,M1,FALSE,M1N,Mock only,2,D2,100,2,2
G,12,G12,M1N-D2-3,M1N-D2,M1,FALSE,M1N,Mock only,2,D2,100,3,1
C,4,C4,M1N-D2-4,M1N-D2,M1,FALSE,M1N,Mock only,2,D2,100,4,2
F,2,F2,M2F-D0-1,M2F-D0,M2,TRUE,M2F,Mock in feces,0,D0,1,1,1
A,8,A8,M2F-D0-2,M2F-D0,M2,TRUE,M2F,Mock in feces,0,D0,1,2,2
F,7,F7,M2F-D0-3,M2F-D0,M2,TRUE,M2F,Mock in feces,0,D0,1,3,1
A,6,A6,M2F-D0-4,M2F-D0,M2,TRUE,M2F,Mock in feces,0,D0,1,4,2
F,1,F1,M2F-D1-1,M2F-D1,M2,TRUE,M2F,Mock in feces,1,D1,10,1,1
D,12,D12,M2F-D1-2,M2F-D1,M2,TRUE,M2F,Mock in feces,1,D1,10,2,2
F,10,F10,M2F-D1-3,M2F-D1,M2,TRUE,M2F,Mock in feces,1,D1,10,3,1
A,11,A11,M2F-D1-4,M2F-D1,M2,TRUE,M2F,Mock in feces,1,D1,10,4,2
C,5,C5,M2F-D2-1,M2F-D2,M2,TRUE,M2F,Mock in feces,2,D2,100,1,1
C,2,C2,M2F-D2-2,M2F-D2,M2,TRUE,M2F,Mock in feces,2,D2,100,2,2
F,11,F11,M2F-D2-3,M2F-D2,M2,TRUE,M2F,Mock in feces,2,D2,100,3,1
D,3,D3,M2F-D2-4,M2F-D2,M2,TRUE,M2F,Mock in feces,2,D2,100,4,2
E,6,E6,M2N-D0-1,M2N-D0,M2,FALSE,M2N,Mock only,0,D0,1,1,1
F,12,F12,M2N-D0-2,M2N-D0,M2,FALSE,M2N,Mock only,0,D0,1,2,2
B,11,B11,M2N-D0-3,M2N-D0,M2,FALSE,M2N,Mock only,0,D0,1,3,1
F,4,F4,M2N-D0-4,M2N-D0,M2,FALSE,M2N,Mock only,0,D0,1,4,2
A,4,A4,M2N-D1-1,M2N-D1,M2,FALSE,M2N,Mock only,1,D1,10,1,1
D,4,D4,M2N-D1-2,M2N-D1,M2,FALSE,M2N,Mock only,1,D1,10,2,2
E,11,E11,M2N-D1-3,M2N-D1,M2,FALSE,M2N,Mock only,1,D1,10,3,1
D,1,D1,M2N-D1-4,M2N-D1,M2,FALSE,M2N,Mock only,1,D1,10,4,2
A,1,A1,M2N-D2-1,M2N-D2,M2,FALSE,M2N,Mock only,2,D2,100,1,1
F,9,F9,M2N-D2-2,M2N-D2,M2,FALSE,M2N,Mock only,2,D2,100,2,2
G,7,G7,M2N-D2-3,M2N-D2,M2,FALSE,M2N,Mock only,2,D2,100,3,1
C,12,C12,M2N-D2-4,M2N-D2,M2,FALSE,M2N,Mock only,2,D2,100,4,2
D,2,D2,M3F-D0-1,M3F-D0,M3,TRUE,M3F,Mock in feces,0,D0,1,1,1
B,7,B7,M3F-D0-2,M3F-D0,M3,TRUE,M3F,Mock in feces,0,D0,1,2,2
E,7,E7,M3F-D1-1,M3F-D1,M3,TRUE,M3F,Mock in feces,1,D1,10,1,1
E,5,E5,M3F-D1-2,M3F-D1,M3,TRUE,M3F,Mock in feces,1,D1,10,2,2
F,3,F3,M3F-D2-1,M3F-D2,M3,TRUE,M3F,Mock in feces,2,D2,100,1,1
F,5,F5,M3F-D2-2,M3F-D2,M3,TRUE,M3F,Mock in feces,2,D2,100,2,2
E,10,E10,M3N-D0-1,M3N-D0,M3,FALSE,M3N,Mock only,0,D0,1,1,1
B,10,B10,M3N-D0-2,M3N-D0,M3,FALSE,M3N,Mock only,0,D0,1,2,2
F,8,F8,M3N-D1-1,M3N-D1,M3,FALSE,M3N,Mock only,1,D1,10,1,1
H,5,H5,M3N-D1-2,M3N-D1,M3,FALSE,M3N,Mock only,1,D1,10,2,2
A,7,A7,M3N-D2-1,M3N-D2,M3,FALSE,M3N,Mock only,2,D2,100,1,1
B,6,B6,M3N-D2-2,M3N-D2,M3,FALSE,M3N,Mock only,2,D2,100,2,2
A,10,A10,T1-D0-1,T1-D0,,FALSE,T1,T. mobilis,0,D0,1,1,1
C,7,C7,T1-D0-2,T1-D0,,FALSE,T1,T. mobilis,0,D0,1,2,2
E,4,E4,T1-D0-3,T1-D0,,FALSE,T1,T. mobilis,0,D0,1,3,1
G,1,G1,T1-D0-4,T1-D0,,FALSE,T1,T. mobilis,0,D0,1,4,2
