sample_id,specimen_id,aliquot_number,specimen_type,host_species,host_sex,batch,number_of_aliquots,protocol,dna_conc,A2,A1,S2,S1,notes,well
14_2,14,2,inoculum,"NA","NA",2,4,Protocol 2,8.401,TRUE,TRUE,TRUE,TRUE,NA,F1
14_3,14,3,inoculum,"NA","NA",2,4,Protocol 1,0.7367,TRUE,TRUE,TRUE,TRUE,NA,D7
14_4,14,4,inoculum,"NA","NA",2,4,Protocol 2,7.575,TRUE,TRUE,TRUE,TRUE,NA,E7
15_1,15,1,inoculum,"NA","NA",2,4,Protocol 1,0.4654,TRUE,TRUE,TRUE,TRUE,NA,A8
15_2,15,2,inoculum,"NA","NA",2,4,Protocol 2,6.489,TRUE,TRUE,TRUE,TRUE,NA,A10
15_3,15,3,inoculum,"NA","NA",2,4,Protocol 1,0.5021,TRUE,TRUE,TRUE,TRUE,NA,C12
15_4,15,4,inoculum,"NA","NA",2,4,Protocol 2,4.13899999999999,TRUE,TRUE,TRUE,TRUE,NA,G8
16_1,16,1,inoculum,"NA","NA",2,4,Protocol 1,1.103,TRUE,TRUE,TRUE,TRUE,NA,F2
16_2,16,2,inoculum,"NA","NA",2,4,Protocol 2,8.372,TRUE,TRUE,TRUE,TRUE,NA,E9
16_3,16,3,inoculum,"NA","NA",2,4,Protocol 1,1.141,TRUE,TRUE,TRUE,TRUE,NA,C2
16_4,16,4,inoculum,"NA","NA",2,4,Protocol 2,9.611,TRUE,TRUE,TRUE,TRUE,NA,D2
17_1,17,1,fecal,mouse,female,2,4,Protocol 1,9.917,TRUE,TRUE,TRUE,TRUE,NA,F8
17_2,17,2,fecal,mouse,female,2,4,Protocol 2,5.83899999999999,TRUE,TRUE,TRUE,TRUE,NA,B5
17_3,17,3,fecal,mouse,female,2,4,Protocol 1,10.3,TRUE,TRUE,TRUE,TRUE,NA,A4
17_4,17,4,fecal,mouse,female,2,4,Protocol 2,7.148,TRUE,TRUE,TRUE,TRUE,NA,F11
18_1,18,1,fecal,mouse,female,2,4,Protocol 1,11.18,TRUE,TRUE,TRUE,TRUE,NA,D12
18_2,18,2,fecal,mouse,female,2,4,Protocol 2,8.129,TRUE,TRUE,TRUE,TRUE,NA,H2
18_3,18,3,fecal,mouse,female,2,4,Protocol 1,11.19,TRUE,TRUE,TRUE,TRUE,NA,C8
18_4,18,4,fecal,mouse,female,2,4,Protocol 2,7.092,TRUE,TRUE,TRUE,TRUE,NA,B11
19_1,19,1,fecal,mouse,female,2,4,Protocol 1,7.406,TRUE,TRUE,TRUE,TRUE,NA,C1
19_2,19,2,fecal,mouse,female,2,4,Protocol 2,8.373,TRUE,TRUE,TRUE,TRUE,NA,E6
19_3,19,3,fecal,mouse,female,2,4,Protocol 1,7.682,TRUE,TRUE,TRUE,TRUE,NA,D9
19_4,19,4,fecal,mouse,female,2,4,Protocol 2,7.96,TRUE,TRUE,TRUE,TRUE,NA,D6
20_1,20,1,fecal,mouse,female,2,4,Protocol 1,17.1,TRUE,TRUE,TRUE,TRUE,NA,C5
20_2,20,2,fecal,mouse,female,2,4,Protocol 2,9.269,TRUE,TRUE,TRUE,TRUE,NA,D5
20_3,20,3,fecal,mouse,female,2,4,Protocol 1,16.7,TRUE,TRUE,TRUE,FALSE,NA,H10
20_4,20,4,fecal,mouse,female,2,4,Protocol 2,5.75299999999999,TRUE,TRUE,TRUE,FALSE,NA,H6
21_1,21,1,fecal,mouse,male,2,4,Protocol 1,19.3,TRUE,TRUE,TRUE,TRUE,NA,G10
21_2,21,2,fecal,mouse,male,2,4,Protocol 2,11.3,TRUE,TRUE,TRUE,TRUE,NA,E11
21_3,21,3,fecal,mouse,male,2,4,Protocol 1,19.9,TRUE,TRUE,TRUE,TRUE,NA,B6
21_4,21,4,fecal,mouse,male,2,4,Protocol 2,17.1,TRUE,TRUE,TRUE,TRUE,NA,D3
22_1,22,1,fecal,mouse,male,2,4,Protocol 1,17.2,TRUE,TRUE,TRUE,TRUE,NA,G9
22_2,22,2,fecal,mouse,male,2,4,Protocol 2,10.3,TRUE,TRUE,TRUE,TRUE,NA,D11
22_3,22,3,fecal,mouse,male,2,4,Protocol 1,19.9,TRUE,TRUE,TRUE,TRUE,NA,H4
22_4,22,4,fecal,mouse,male,2,4,Protocol 2,9.863,TRUE,TRUE,TRUE,TRUE,NA,E4
23_1,23,1,fecal,mouse,male,2,4,Protocol 1,8.999,TRUE,TRUE,TRUE,TRUE,NA,F7
23_2,23,2,fecal,mouse,male,2,4,Protocol 2,6.286,TRUE,TRUE,TRUE,TRUE,NA,C11
23_3,23,3,fecal,mouse,male,2,4,Protocol 1,8.227,TRUE,TRUE,TRUE,FALSE,NA,H9
23_4,23,4,fecal,mouse,male,2,4,Protocol 2,7.671,TRUE,TRUE,TRUE,FALSE,NA,H7
24_1,24,1,fecal,mouse,male,2,4,Protocol 1,10.4,TRUE,TRUE,TRUE,TRUE,NA,A9
24_2,24,2,fecal,mouse,male,2,4,Protocol 2,8.645,TRUE,TRUE,TRUE,TRUE,NA,A6
25_1,25,1,inoculum,"NA","NA",2,2,Protocol 1,0.2868,TRUE,TRUE,TRUE,TRUE,NA,G2
25_2,25,2,inoculum,"NA","NA",2,2,Protocol 2,7.261,TRUE,TRUE,TRUE,TRUE,NA,B7
26_1,26,1,inoculum,"NA","NA",2,4,Protocol 1,0.6854,TRUE,TRUE,TRUE,TRUE,NA,H1
26_2,26,2,inoculum,"NA","NA",2,4,Protocol 2,6.896,TRUE,TRUE,TRUE,TRUE,NA,D4
26_3,26,3,inoculum,"NA","NA",2,4,Protocol 1,0.1722,TRUE,TRUE,TRUE,TRUE,NA,D8
26_4,26,4,inoculum,"NA","NA",2,4,Protocol 2,5.954,TRUE,TRUE,TRUE,TRUE,NA,A7
